Topall,rank
YMR223W,1031
YOR204W,1032
YER157W,1033
YKL192C,1034
YNL238W,1035
YOR160W,1036
YPL082C,1037
YKL125W,1038
YOR007C,1039
YHR188C,1040
YLR388W,1041
YNR003C,1042
YPL203W,1043
YPR056W,1044
YBL097W,1045
YDL217C,1046
YDR246W,1047
YPR025C,1048
YBL021C,1049
YGR080W,1050
YGR194C,1051
YBL026W,1052
YGR024C,1053
YGR029W,1054
YMR076C,1055
YKL021C,1056
YNL284C,1057
YMR012W,1058
YGL055W,1059
YGR173W,1060
YDR299W,1061
YPL104W,1062
YIL035C,1063
YMR089C,1064
YFL044C,1065
YJL141C,1066
YOR048C,1067
YDL114W,1068
YDR002W,1069
YHR132C,1070
YLR088W,1071
YLR323C,1072
YNL267W,1073
YOR346W,1074
YPL170W,1075
YPL120W,1076
YDR080W,1077
YOL002C,1078
YPL013C,1079
YPL212C,1080
YDR013W,1081
YDR419W,1082
YGR223C,1083
YMR304W,1084
YBR235W,1085
YDL091C,1086
YDR452W,1087
YPL042C,1088
YBR241C,1089
YKL152C,1090
YGR267C,1091
YMR079W,1092
YBR070C,1093
YJL109C,1094
YJL189W,1095
YDL066W,1096
YDR264C,1097
YNL023C,1098
YGL115W,1099
YJL072C,1100
YNR036C,1101
YJR102C,1102
YOR001W,1103
YDR265W,1104
YDR324C,1105
YLR207W,1106
YOR167C,1107
YDL238C,1108
YDR236C,1109
YDR255C,1110
YKL160W,1111
YLR306W,1112
YNL312W,1113
YBL016W,1114
YDR021W,1115
YER070W,1116
YKL025C,1117
YLR246W,1118
YPR105C,1119
YNL135C,1120
YDR225W,1121
YHR099W,1122
YGR187C,1123
YOR096W,1124
YGL094C,1125
YGL256W,1126
YHL001W,1127
YGR274C,1128
YHR077C,1129
YNL148C,1130
YNL201C,1131
YNL275W,1132
YGL047W,1133
YGR061C,1134
YJR044C,1135
YLR133W,1136
YNL271C,1137
YPL051W,1138
YBL084C,1139
YEL046C,1140
YHR113W,1141
YIL065C,1142
YJL035C,1143
YPL132W,1144
YBL105C,1145
YFR019W,1146
YGR208W,1147
YNL265C,1148
YIL110W,1149
YOR085W,1150
YFL005W,1151
YKL165C,1152
YJL124C,1153
YPR129W,1154
YPR036W,1155
YER162C,1156
YMR229C,1157
YDR221W,1158
YHR018C,1159
YLR017W,1160
YLR074C,1161
YAR035W,1162
YDL074C,1163
YGR258C,1164
YLR245C,1165
YOR100C,1166
YPR051W,1167
YDR266C,1168
YGL083W,1169
YJR048W,1170
YOR123C,1171
YBL080C,1172
YDR152W,1173
YJR135W-A,1174
YKL110C,1175
YNR030W,1176
YOR336W,1177
YPL088W,1178
YBR018C,1179
YBR291C,1180
YCR042C,1181
YEL042W,1182
YGL216W,1183
YKR031C,1184
YDR099W,1185
YLR314C,1186
YMR026C,1187
YNL113W,1188
YKL120W,1189
YHL002W,1190
YHR039C-A,1191
YDR378C,1192
YIL044C,1193
YIL128W,1194
YJL180C,1195
YBL079W,1196
YML060W,1197
