Topall,rank
fruB,712
frvX,713
ftsI,714
ftsL,715
ftsW,716
ftsY,717
fucK,718
fucO,719
fucU,720
fumA,721
fumC,722
gabD,723
gabP,724
gadA,725
gadC,726
galE,727
galF,728
galM,729
galR,730
garK,731
gcd,732
gcl,733
gcvA,734
gcvR,735
gfcA,736
gfcC,737
ggt,738
ghrB,739
ghxP,740
glcA,741
glcB,742
gldA,743
glf,744
glgC,745
glmS,746
glmU,747
glnB,748
glnD,749
glnE,750
glnG,751
glnK,752
glnL,753
glnS,754
gloB,755
gloC,756
glpB,757
glpC,758
glpD,759
glpF,760
glpK,761
glrK,762
glrR,763
glsA1,764
gltJ,765
gltL,766
gltS,767
gluQ,768
glvG,769
glyS,770
gmd,771
gmhA,772
gpmA,773
gpmI,774
gpr,775
greA,776
grxB,777
grxD,778
gshA,779
gsiB,780
gsk,781
gss,782
guaB,783
hcaB,784
hcp,785
hcxA,786
hcxB,787
hdeA,788
hdeD,789
hdfR,790
hemA,791
hemL,792
hemN,793
hemX,794
hemY,795
hexR,796
hflC,797
hflK,798
hflX,799
hicB,800
hinT,801
hipA,802
hisJ,803
hisQ,804
hisS,805
hlyE,806
hofM,807
hofO,808
holD,809
hpf,810
hprR,811
hprS,812
hscA,813
hslJ,814
hslO,815
hslR,816
hspQ,817
hsrA,818
htpG,819
htrE,820
hxpA,821
hyaB,822
hyaD,823
hyaE,824
hybC,825
hybD,826
hybE,827
hybO,828
hycG,829
hycI,830
hyfA,831
hyfE,832
hyfR,833
hyi,834
hypA,835
ibaG,836
idnD,837
idnT,838
ileS,839
ilvA,840
ilvB,841
ilvD,842
ilvH,843
ilvI,844
infA,845
insE1,846
insL3,847
insQ,848
intA,849
intB,850
intE,851
intQ,852
intS,853
intZ,854
iraP,855
iscA,856
iscR,857
iscX,858
ispE,859
ispF,860
ispG,861
ispH,862
ispU,863
katE,864
katG,865
kbaY,866
kbl,867
kch,868
kdpD,869
kdpE,870
kdsC,871
kdsD,872
kduI,873
kefC,874
kefF,875
lacA,876
lapA,877
lapB,878
ldcA,879
ldhA,880
lepA,881
lfhA,882
lgoT,883
lhgO,884
lnt,885
lolA,886
lomR,887
lpdA,888
lplA,889
lpoA,890
lpp,891
lptB,892
lptD,893
lpxC,894
lpxH,895
lpxK,896
lpxM,897
lrp,898
lsrC,899
lsrG,900
lsrK,901
lysA,902
lysO,903
lysR,904
lysS,905
maa,906
macA,907
maeB,908
malE,909
malS,910
malX,911
malY,912
malZ,913
manA,914
marA,915
mazG,916
mcrB,917
mdfA,918
mdh,919
mdlA,920
mdoB,921
mdoG,922
mdtB,923
mdtD,924
mdtL,925
mdtO,926
melA,927
melB,928
melR,929
menB,930
menD,931
menE,932
menF,933
metC,934
metF,935
metJ,936
metL,937
metQ,938
mfd,939
mglB,940
mgsA,941
mhpE,942
mhpF,943
mhpR,944
minC,945
minE,946
mlaB,947
mlc,948
mliC,949
mltB,950
mltD,951
mngA,952
mnmA,953
mnmC,954
mnmE,955
mnmG,956
mntH,957
mntR,958
moaD,959
moaE,960
moeB,961
mog,962
motA,963
motB,964
mpl,965
mqsA,966
mraZ,967
mrdA,968
mrdB,969
mreC,970
mreD,971
msbA,972
mscL,973
mscS,974
msrB,975
msrP,976
msyB,977
mtlA,978
mtlD,979
murD,980
mutM,981
mutT,982
mutY,983
nadA,984
nadB,985
nadK,986
nagD,987
nagK,988
nanE,989
nanK,990
nanS,991
napC,992
napH,993
narG,994
narI,995
narP,996
narQ,997
narW,998
ndk,999
nemR,1000
nepI,1001
nfo,1002
nfrA,1003
nfrB,1004
nfuA,1005
nikA,1006
nikB,1007
nikC,1008
nikR,1009
nlpI,1010
nohA,1011
nrdB,1012
nrdG,1013
nrdH,1014
nrfA,1015
nth,1016
nudB,1017
nudF,1018
nudJ,1019
nudL,1020
nuoF,1021
nuoI,1022
nupX,1023
obgE,1024
ompF,1025
ompN,1026
ompR,1027
ompX,1028
oppA,1029
oppD,1030
oppF,1031
osmC,1032
osmY,1033
otnK,1034
oxc,1035
paaK,1036
pabA,1037
pabB,1038
pabC,1039
pal,1040
panF,1041
patA,1042
pbpC,1043
pbpG,1044
pdeA,1045
pdeC,1046
pdeF,1047
pdeG,1048
pdeK,1049
pdeR,1050
pdxB,1051
pdxI,1052
pdxJ,1053
pepA,1054
pepB,1055
pepE,1056
pepQ,1057
perR,1058
pflD,1059
pgaB,1060
pgaC,1061
pgaD,1062
pgi,1063
pgrR,1064
pheA,1065
pheP,1066
phnA,1067
phnD,1068
phnG,1069
phnH,1070
phoB,1071
phoQ,1072
phoR,1073
php,1074
phrB,1075
pinQ,1076
pinR,1077
plsC,1078
plsX,1079
pncA,1080
pncB,1081
pntA,1082
pntB,1083
potC,1084
potG,1085
poxB,1086
ppc,1087
ppiA,1088
ppiB,1089
ppiC,1090
ppiD,1091
ppk,1092
ppnN,1093
ppsR,1094
ppx,1095
pqiB,1096
pqiC,1097
pqqL,1098
prc,1099
preA,1100
prfA,1101
prlC,1102
prmA,1103
proQ,1104
proV,1105
proY,1106
prpR,1107
prr,1108
prs,1109
pspA,1110
pspB,1111
