artM	0.655	0.53	0.323	0.447	0.954	0.177	0.295	0.539	1.642
artP	1.364	0.856	0.819	0.882	1.399	0.543	1.228	0.924	-1.55
artQ	0.133	0.396	-0.147	0.012	0.202	-0.255	0.006	-0.007	0.435
ascB	-1.224	-1.274	-1.031	-0.904	-1.136	-0.711	-0.879	-0.731	-0.209
ascF	0.158	0.056	0.236	0.23	0.385	0.294	0.378	0.316	0.643
ascG	1.331	1.229	1.528	0.783	1.396	0.893	1.449	1.293	0.331
asd	1.514	1.474	1.597	1.364	1.73	1.495	1.776	1.558	0.726
aslA	0.46	0.619	0.115	-0.544	-0.034	0.146	0.121	-0.387	1.81
aslB	-1.229	-1.274	-1.139	-1.29	-1.175	-0.865	-1.038	-1.063	0.664
asmA	-0.064	-0.157	-0.151	0.177	-0.02	-0.149	0.082	0.312	0.133
asnA	-0.78	-0.789	-0.727	-0.984	0.682	-0.157	-0.354	-0.597	0.465
asnB	0.979	0.798	0.839	0.722	1.56	0.401	0.905	0.811	0.478
asnC	-0.736	-0.577	-0.718	-0.408	-0.519	-0.626	-0.604	-0.534	-0.568
asnS	1.507	1.27	1.096	0.965	1.363	0.94	1.08	1.111	0.131
aspA	-1.228	-0.987	-1.076	-0.959	-1.134	-0.853	-1.104	-1.109	-0.87
aspC	1.67	1.475	1.244	1.133	1.473	1.215	1.46	1.34	0.045
aspS	1.23	1.056	1.251	1.007	1.253	0.951	1.377	1.167	0.088
asr	1.358	1.357	1.707	1.861	1.357	1.368	1.301	1.433	-0.598
astA	0.155	0.066	0.026	0.109	-0.018	0.148	0.041	0.26	-0.144
astB	-0.846	-1.141	-0.85	-0.166	-0.608	-0.326	-0.553	-0.51	-0.364
astC	1.07	1.021	1.198	0.577	1.493	0.273	1.101	0.971	-0.676
astE	-2.197	-2.611	-2.448	-1.761	-2.294	-1.966	-2.165	-1.651	-0.215
atoA	-0.235	-0.253	0	-0.295	0.087	-0.083	-0.242	-0.203	-0.128
atoB	-0.35	-0.323	-0.245	-0.382	-0.037	-0.143	-0.193	-0.252	-0.13
atoC	-0.047	-0.179	0	0.064	0.039	-0.051	-0.024	0.234	1.068
atoD	-0.463	-0.336	-0.411	-0.496	-0.272	-0.237	-0.276	-0.144	-0.198
atoE	-0.392	0.098	-0.127	-0.028	-0.03	0.058	-0.055	-0.082	-0.299
atoS	-0.252	-0.664	-0.489	0.071	-0.247	0.147	-0.192	-0.052	0.112
atpA	1.067	0.865	0.881	0.355	1.076	0.485	1.04	0.78	-0.141
atpB	1.673	1.519	1.582	1.252	1.652	1.523	1.653	1.259	-0.301
atpC	1.146	0.992	0.817	0.667	1.118	0.62	1.052	0.611	-0.162
atpD	1.036	0.857	0.702	0.489	0.961	0.364	0.941	0.577	-0.06
atpF	1.555	0.957	1.213	0.767	1.377	0.679	1.317	1.131	-0.139
atpH	1.214	1.02	1.034	0.794	1.24	0.542	1.093	1.005	-0.023
atpI	1.275	1.138	0.981	0.877	1.346	0.857	1.412	1.002	-0.167
avtA	1.603	1.458	1.593	1.644	1.666	1.298	1.693	1.62	1.9
azoR	0.991	0.842	1.26	0.984	1.095	1.115	1.08	1.106	0.119
baeR	-0.193	-0.317	-0.042	0.14	-0.128	-0.202	-0.074	0.105	-0.038
baeS	-0.29	-0.31	-0.098	0.012	-0.19	-0.021	-0.005	-0.053	0.785
bamA	-0.006	-0.345	-0.051	-0.148	-0.023	-0.093	-0.059	-0.001	-0.027
bamC	0.652	0.551	0.392	0.283	0.533	0.136	0.485	0.362	-0.155
bamD	1.503	1.449	1.524	1.493	1.611	1.609	1.597	1.647	-0.714
barA	0.394	0.059	0.201	0.069	0.152	0.437	0.395	0.37	1.085
basR	-2.139	-2.162	-2.095	-2.067	-1.973	-1.98	-1.928	-1.979	-0.023
basS	-3.353	-2.921	-3.113	-3.178	-3.343	-2.828	-3.305	-2.846	-0.711
bax	-1.129	-1.25	-0.915	-0.665	-0.825	-0.941	-0.866	-0.579	0.039
bcr	-1.272	-1.207	-1.015	-0.962	-1.032	-0.647	-1.048	-0.891	-0.007
bcsA	-1.095	-1.462	-0.956	-0.638	-1.168	-0.563	-0.829	-0.76	0.453
bcsB	-0.903	-0.725	-0.585	-0.666	-0.292	-0.191	-0.532	-0.535	0.079
bcsE	0.313	0.325	0.116	0.203	0.353	0.363	0.421	0.129	0.275
bcsF	0.089	-0.112	-0.097	-0.385	-0.267	-0.124	-0.241	-0.32	0.63
bcsQ	-0.208	-0.298	-0.352	-0.335	-0.455	0.042	-0.297	-0.285	0.364
bcsZ	-0.819	-0.995	-0.907	-0.094	-0.394	-0.472	-0.53	-0.669	0.32
bdcA	-0.677	-0.966	-0.709	-0.743	-0.607	-0.791	-0.801	-0.747	0.106
bdm	-0.147	-0.064	-0.112	0.009	0.05	0.283	0.159	0.55	0.044
beeE	-0.267	-0.33	-0.778	-0.379	0.442	0.252	0.3	-0.088	0
bepA	0.807	0.82	0.877	0.75	0.802	0.641	0.928	0.803	-1.022
betA	-0.004	-0.353	-0.217	-0.314	-0.173	-0.205	-0.035	-0.029	0.477
betB	0.206	0.191	0.307	0.331	0.345	0.411	0.389	0.446	0.046
betI	1.071	1.034	1.196	0.837	1.28	0.646	1.135	0.892	0.188
betT	0.092	0.14	0.181	0.147	0.451	0.554	0.413	0.223	-0.206
bfd	-0.551	-0.537	-0.374	-0.138	-0.331	0.025	-0.281	-0.323	0.915
bglA	0.634	0.58	0.72	0.793	0.625	1.073	0.816	1.088	-0.344
bglF	-0.781	-0.774	-0.684	-0.584	-0.559	-0.353	-0.565	-0.576	0.401
bglG	-1.353	-1.111	-1.113	-1.078	-0.794	-1.023	-0.959	-1.437	-0.251
bglH	-1.169	-1.837	-1.563	-1.292	-1.17	-0.818	-0.995	-0.913	0.027
bglJ	-2.729	-2.485	-2.498	-2.511	-2.786	-2.275	-2.563	-2.173	3.242
bglX	1.135	1.138	1.209	0.942	1.233	0.746	1.005	0.971	0.106
bhsA	-0.846	-0.931	-0.849	-1.019	-0.617	-0.81	-0.599	-0.8	-0.124
bioA	-0.333	-0.162	-0.179	-0.047	-0.072	0.485	0.111	0.163	1.857
bioB	0.537	0.664	0.579	0.496	0.631	0.769	0.959	0.422	2.135
bioC	-0.35	-0.306	-0.056	0.039	-0.466	0.332	0.218	0.391	1.138
bioD	-0.551	-0.585	-0.497	-0.247	-0.467	-0.286	-0.109	-0.067	1.763
bioF	-0.056	-0.248	0.175	0.058	-0.276	0.458	0.389	0.384	1.099
bioH	0.463	0.224	0.53	0.357	0.381	0.48	0.521	0.629	-0.061
birA	0.452	0.32	0.462	0.558	0.444	1.002	0.527	0.448	0.275
bisC	0.385	0.104	0.349	0.368	0.238	0.311	0.412	0.498	-0.044
blc	-1.15	-1.445	-1.081	-0.843	-1.216	-0.382	-0.92	-0.643	-0.105
bluF	-2.34	-2.576	-2.376	-2.323	-2.318	-1.963	-2.382	-2.11	-1.002
bluR	-1.523	-1.531	-1.509	-1.084	-1.451	-1.094	-1.407	-0.792	-0.737
bolA	0.641	0.507	0.687	0.275	0.678	0.595	0.525	0.317	-0.354
borD	2.63	3.099	2.168	2.233	2.305	1.906	2.378	1.922	0.731
brnQ	-1.062	-1.021	-1.112	-0.765	-0.852	-0.572	-0.813	-0.613	0.1
bsmA	-0.372	-0.551	-0.284	-0.529	-0.353	-0.181	-0.108	-0.302	-0.369
bssR	-0.783	-0.714	-0.805	-0.542	-0.435	-0.708	-0.688	-0.592	-0.851
bssS	-0.826	-1.258	-1.124	-0.982	-0.81	-0.956	-1.054	-0.974	-0.763
btuB	1.201	0.785	1.024	0.787	1.119	0.748	1.089	1.075	0.048
btuC	-0.118	-0.066	-0.283	-0.057	-0.084	-0.131	-0.146	-0.298	0.421
btuD	0.565	0.632	0.633	0.469	0.679	0.469	0.604	0.515	0.535
btuE	0.938	0.93	1.151	0.778	0.997	0.789	1.033	1.049	0.362
